Stock_Y,Stock_X,Correlation,Sign
SUNPHARMA.NS,LUPIN.NS,0.9829,positive
TORNTPHARM.NS,LUPIN.NS,0.9783,positive
SUNPHARMA.NS,TORNTPHARM.NS,0.9767,positive
ICICIBANK.NS,BHARTIARTL.NS,0.9728,positive
M&M.NS,VEDL.NS,0.9683,positive
BHARTIARTL.NS,INDIGO.NS,0.9677,positive
TATAPOWER.NS,GAIL.NS,0.967,positive
POWERGRID.NS,GAIL.NS,0.9657,positive
BPCL.NS,HINDPETRO.NS,0.9628,positive
ADANIPORTS.NS,BHEL.NS,0.9619,positive
NTPC.NS,GAIL.NS,0.9609,positive
EICHERMOT.NS,BHARTIARTL.NS,0.9606,positive
VOLTAS.NS,TRENT.NS,0.9604,positive
NTPC.NS,TATAPOWER.NS,0.9599,positive
ADANIPORTS.NS,GAIL.NS,0.9598,positive
NTPC.NS,COALINDIA.NS,0.9592,positive
GAIL.NS,BHEL.NS,0.9588,positive
ONGC.NS,GAIL.NS,0.9581,positive
BOSCHLTD.NS,OFSS.NS,0.9578,positive
APOLLOHOSP.NS,HINDPETRO.NS,0.9577,positive
GRASIM.NS,INDUSTOWER.NS,0.9577,positive
EICHERMOT.NS,INDIGO.NS,0.9571,positive
NAUKRI.NS,TRENT.NS,0.957,positive
COALINDIA.NS,GAIL.NS,0.9565,positive
TATAPOWER.NS,BHEL.NS,0.9564,positive
LICI.NS,IOC.NS,0.9563,positive
OFSS.NS,TRENT.NS,0.9563,positive
POWERGRID.NS,BOSCHLTD.NS,0.9562,positive
TORNTPHARM.NS,HINDPETRO.NS,0.9561,positive
SBIN.NS,POWERGRID.NS,0.9561,positive
ONGC.NS,COALINDIA.NS,0.9558,positive
COALINDIA.NS,BHEL.NS,0.9553,positive
GLENMARK.NS,TRENT.NS,0.9549,positive
JINDALSTEL.NS,CUMMINSIND.NS,0.9547,positive
AUROPHARMA.NS,COLPAL.NS,0.9545,positive
NTPC.NS,POWERGRID.NS,0.9543,positive
SHRIRAMFIN.NS,BHARTIARTL.NS,0.9539,positive
TORNTPHARM.NS,TRENT.NS,0.9537,positive
APOLLOHOSP.NS,SUNPHARMA.NS,0.9535,positive
SBIN.NS,CUMMINSIND.NS,0.9533,positive
ICICIBANK.NS,INDIGO.NS,0.9531,positive
LUPIN.NS,TRENT.NS,0.9526,positive
TATAPOWER.NS,COALINDIA.NS,0.9523,positive
ICICIGI.NS,TRENT.NS,0.9521,positive
GAIL.NS,CUMMINSIND.NS,0.9518,positive
TATAPOWER.NS,ADANIPORTS.NS,0.9517,positive
GAIL.NS,BPCL.NS,0.9516,positive
MUTHOOTFIN.NS,BHARTIARTL.NS,0.9511,positive
TORNTPHARM.NS,NAUKRI.NS,0.9511,positive
TORNTPHARM.NS,GLENMARK.NS,0.9509,positive
POWERGRID.NS,CUMMINSIND.NS,0.9506,positive
GRASIM.NS,TVSMOTOR.NS,0.9505,positive
ULTRACEMCO.NS,TVSMOTOR.NS,0.95,positive
NAUKRI.NS,GLENMARK.NS,0.9499,positive
SUNPHARMA.NS,TRENT.NS,0.9499,positive
NAUKRI.NS,M&M.NS,0.9493,positive
PETRONET.NS,OFSS.NS,0.9492,positive
APOLLOHOSP.NS,TORNTPHARM.NS,0.949,positive
SUNPHARMA.NS,HINDPETRO.NS,0.9488,positive
ULTRACEMCO.NS,GRASIM.NS,0.9485,positive
NTPC.NS,BAJAJ-AUTO.NS,0.948,positive
COALINDIA.NS,RECLTD.NS,0.9476,positive
BOSCHLTD.NS,CUMMINSIND.NS,0.9474,positive
HCLTECH.NS,PERSISTENT.NS,0.947,positive
INDIGO.NS,BEL.NS,0.9466,positive
TORNTPHARM.NS,SHRIRAMFIN.NS,0.9462,positive
TATAPOWER.NS,POWERGRID.NS,0.9461,positive
POWERGRID.NS,BPCL.NS,0.9459,positive
COALINDIA.NS,IOC.NS,0.9456,positive
LUPIN.NS,GLENMARK.NS,0.9453,positive
NAUKRI.NS,LUPIN.NS,0.9452,positive
TVSMOTOR.NS,HINDPETRO.NS,0.945,positive
NAUKRI.NS,VEDL.NS,0.945,positive
BHARTIARTL.NS,M&M.NS,0.9441,positive
TECHM.NS,PERSISTENT.NS,0.9441,positive
PETRONET.NS,POWERGRID.NS,0.9438,positive
ADANIPORTS.NS,BPCL.NS,0.9437,positive
GAIL.NS,BAJAJ-AUTO.NS,0.9433,positive
ULTRACEMCO.NS,TORNTPHARM.NS,0.9433,positive
TECHM.NS,NAUKRI.NS,0.9431,positive
ADANIPORTS.NS,COALINDIA.NS,0.9428,positive
ICICIGI.NS,TORNTPHARM.NS,0.9426,positive
TORNTPHARM.NS,TVSMOTOR.NS,0.9423,positive
AMBUJACEM.NS,BHEL.NS,0.942,positive
VOLTAS.NS,OFSS.NS,0.9413,positive
SAIL.NS,HINDCOPPER.NS,0.941,positive
SHRIRAMFIN.NS,INDIGO.NS,0.9409,positive
M&M.NS,GLENMARK.NS,0.9408,positive
TVSMOTOR.NS,SHRIRAMFIN.NS,0.9408,positive
BOSCHLTD.NS,BAJAJ-AUTO.NS,0.9404,positive
TORNTPHARM.NS,BHARTIARTL.NS,0.9403,positive
TATAPOWER.NS,BAJAJ-AUTO.NS,0.9401,positive
ADANIPORTS.NS,IOC.NS,0.9396,positive
GRASIM.NS,POWERGRID.NS,0.9396,positive
POWERGRID.NS,HINDPETRO.NS,0.9395,positive
AMBUJACEM.NS,LICI.NS,0.9393,positive
SBIN.NS,BOSCHLTD.NS,0.9391,positive
NTPC.NS,BPCL.NS,0.939,positive
EICHERMOT.NS,MUTHOOTFIN.NS,0.9387,positive
BOSCHLTD.NS,TRENT.NS,0.9386,positive
EXIDEIND.NS,CUMMINSIND.NS,0.9378,positive
INDHOTEL.NS,PERSISTENT.NS,0.9377,positive
TATAPOWER.NS,BPCL.NS,0.9375,positive
COLPAL.NS,BAJAJ-AUTO.NS,0.9372,positive
APOLLOHOSP.NS,LUPIN.NS,0.9371,positive
ICICIBANK.NS,EICHERMOT.NS,0.9368,positive
BHARTIARTL.NS,INDHOTEL.NS,0.9366,positive
LUPIN.NS,PERSISTENT.NS,0.936,positive
TORNTPHARM.NS,M&M.NS,0.936,positive
ICICIGI.NS,GLENMARK.NS,0.9359,positive
LICI.NS,ADANIPORTS.NS,0.9343,positive
FEDERALBNK.NS,GLENMARK.NS,0.9341,positive
GLENMARK.NS,VEDL.NS,0.9341,positive
POWERGRID.NS,BAJAJ-AUTO.NS,0.9335,positive
SBIN.NS,GAIL.NS,0.9335,positive
ICICIBANK.NS,SHRIRAMFIN.NS,0.9335,positive
JSWSTEEL.NS,BHARTIARTL.NS,0.9334,positive
