Sector,Stock_Y,Stock_X,Correlation,Sign
Basic Materials,ACC.NS,AMBUJACEM.NS,0.8217,positive
Basic Materials,ACC.NS,HINDCOPPER.NS,0.7817,positive
Basic Materials,ACC.NS,SAIL.NS,0.7645,positive
Basic Materials,AMBUJACEM.NS,HINDCOPPER.NS,0.9059,positive
Basic Materials,AMBUJACEM.NS,JINDALSTEL.NS,0.8303,positive
Basic Materials,AMBUJACEM.NS,NMDC.NS,0.8633,positive
Basic Materials,AMBUJACEM.NS,SAIL.NS,0.9161,positive
Basic Materials,GRASIM.NS,HINDALCO.NS,0.9056,positive
Basic Materials,GRASIM.NS,JINDALSTEL.NS,0.8814,positive
Basic Materials,GRASIM.NS,NATIONALUM.NS,0.8574,positive
Basic Materials,GRASIM.NS,VEDL.NS,0.9088,positive
Basic Materials,HINDALCO.NS,HINDCOPPER.NS,0.7794,positive
Basic Materials,HINDALCO.NS,JINDALSTEL.NS,0.9165,positive
Basic Materials,HINDALCO.NS,NATIONALUM.NS,0.8664,positive
Basic Materials,HINDALCO.NS,NMDC.NS,0.8133,positive
Basic Materials,HINDALCO.NS,VEDL.NS,0.8913,positive
Basic Materials,JINDALSTEL.NS,HINDCOPPER.NS,0.827,positive
Basic Materials,JINDALSTEL.NS,NATIONALUM.NS,0.8579,positive
Basic Materials,JINDALSTEL.NS,NMDC.NS,0.8317,positive
Basic Materials,JINDALSTEL.NS,SAIL.NS,0.8185,positive
Basic Materials,JINDALSTEL.NS,VEDL.NS,0.8829,positive
Basic Materials,JSWSTEEL.NS,GRASIM.NS,0.8779,positive
Basic Materials,JSWSTEEL.NS,HINDALCO.NS,0.847,positive
Basic Materials,JSWSTEEL.NS,JINDALSTEL.NS,0.7694,positive
Basic Materials,JSWSTEEL.NS,NATIONALUM.NS,0.811,positive
Basic Materials,JSWSTEEL.NS,ULTRACEMCO.NS,0.8796,positive
Basic Materials,JSWSTEEL.NS,VEDL.NS,0.9131,positive
Basic Materials,NATIONALUM.NS,VEDL.NS,0.914,positive
Basic Materials,NMDC.NS,HINDCOPPER.NS,0.9145,positive
Basic Materials,NMDC.NS,NATIONALUM.NS,0.7652,positive
Basic Materials,PIDILITIND.NS,AMBUJACEM.NS,0.8133,positive
Basic Materials,PIDILITIND.NS,GRASIM.NS,0.8995,positive
