Entry_Date,Stock_Y,Stock_X,ADF_PValue_Entry,ZScore_Entry,Beta,Intercept,StdErr_Residual,Position,Exit_Date,ADF_PValue_Exit,ZScore_Exit,Entry_Open_Price_X,Exit_Open_Price_X,Entry_Open_Price_Y,Exit_Open_Price_Y,Lot_Size_X,Lot_Size_Y,Trade_PnL,Returns
27-05-2025,ACC.NS,SAIL.NS,0.04524961,-2.597978598,14.15401717,447.6392454,127.3154252,long,30-05-2025,0.247781676,-3.081342186,128.58,129.18,1936.8,1882.8,1,14,-756.6,-0.3663
30-07-2024,ACC.NS,GUJGASLTD.NS,0.006692473,-2.564719563,3.766832874,353.1181576,122.218322,long,02-08-2024,0.006744462,-3.04516349,677.25,656.9,2590.75,2435.3,1,4,-601.45,-0.184
02-08-2024,ACC.NS,TATAMOTORS.NS,0.031434431,-2.823161792,1.671504453,917.537684,111.6808237,long,12-08-2024,0.077664789,-3.226320155,1096.65,1076.15,2435.3,2313.6,1,2,-222.9,-0.0631
05-08-2024,ACC.NS,GUJGASLTD.NS,0.018517269,-2.997708729,3.576445488,451.1759222,122.3113589,long,06-08-2024,0.038610001,-3.323136817,642,644.5,2380.6,2342.35,1,4,-155.5,-0.0514
30-07-2024,ACC.NS,TATAMOTORS.NS,0.010085923,-2.692629766,1.729749397,871.4989178,107.8715746,long,01-08-2024,0.017561744,-3.183023555,1161.85,1144.4,2590.75,2487.9,1,2,-188.25,-0.0502
24-07-2024,ACC.NS,LICI.NS,0.000809435,-3.120264612,1.730508282,832.1993609,70.88845387,long,25-07-2024,0.006517109,-3.585366013,1160.55,1160.9,2619.35,2578.9,1,2,-81.25,-0.0215
02-08-2024,ACC.NS,LICI.NS,0.000998759,-4.921604898,1.6240556,917.9332712,80.92646466,long,05-08-2024,0.554281155,-3.933390273,1179.55,1107.65,2435.3,2380.6,1,2,-37.5,-0.0104
26-07-2024,ACC.NS,LICI.NS,0.01476346,-3.511620533,1.702310541,854.8730065,73.14416518,long,29-07-2024,0.032050611,-3.26157122,1184.35,1173.6,2614.15,2604.3,1,2,-8.95,-0.0024
12-08-2024,ACC.NS,GUJGASLTD.NS,0.036444716,-2.62498186,3.405493417,537.9744937,126.4901523,long,02-09-2024,0.069199462,-3.535540733,618.9,680,2313.6,2336.15,1,3,6.55,0.0022
30-07-2024,ACC.NS,LICI.NS,0.04247515,-3.641002614,1.673027728,878.4496155,75.64504829,long,31-07-2024,0.089102594,-3.233434864,1188.1,1176.1,2590.75,2590.65,1,2,11.8,0.0031
12-07-2024,ACC.NS,ADANIENT.NS,0.006070626,2.591612877,0.794791194,12.65633745,91.48779121,short,30-07-2024,0.004798934,0.79410013,3065.45,3128.75,2686.15,2590.75,1,1,158.7,0.0276
25-11-2024,ACC.NS,ADANIENT.NS,0.041678071,2.647977788,0.730456088,205.740096,109.6139425,short,12-12-2024,0.03566109,0.808547748,2257.5,2504.1,2145,2229.45,1,1,162.15,0.0368
29-08-2024,ACC.NS,IOC.NS,0.028546345,-2.556728525,7.556083512,1250.936838,108.3238462,long,09-09-2024,0.027642522,-0.913002779,176.84,175.34,2310.2,2458.7,1,8,1189.5,0.4783
25-11-2024,ADANIENT.NS,GUJGASLTD.NS,0.02886068,-2.894973321,2.388640879,1684.293864,186.660881,long,26-11-2024,0.0072567,-3.576280264,466.2,475.35,2257.5,2150.5,1,2,-223.15,-0.0819
25-11-2024,ADANIENT.NS,IRCTC.NS,0.010651006,-3.37557865,1.968088902,1198.833793,159.8596266,long,26-11-2024,0.010331471,-4.018517763,812.1,814.95,2257.5,2150.5,1,2,-216.85,-0.0706
10-12-2024,ADANIENT.NS,GUJGASLTD.NS,0.039406773,-2.547879508,2.008680859,1899.882314,180.9451946,long,07-02-2025,0.255181348,-0.893627487,511.95,460.8,2467.2,2338.8,1,2,-205.65,-0.069
25-11-2024,ADANIENT.NS,CONCOR.NS,0.021581371,-3.080910965,1.764453214,1371.475254,174.6735673,long,26-11-2024,0.02000989,-3.60157076,807.15,799.3,2257.5,2150.5,1,2,-206.15,-0.0673
25-11-2024,ADANIENT.NS,TATAMOTORS.NS,0.029643047,-3.183841415,1.347441515,1774.427885,185.4048884,long,26-11-2024,0.010522243,-3.637066004,796.6,783,2257.5,2150.5,1,1,-93.4,-0.0306
02-12-2024,ADANIENT.NS,AMBUJACEM.NS,0.029123857,-2.524588125,2.857411479,1328.699738,162.8871476,long,11-12-2024,0.098318079,-3.047522765,538.8,578.45,2457.05,2457.25,1,3,-39.05,-0.013
